,vgg16_30_ReLU,vgg16_60_ReLU,vgg19_30_ReLU,vgg19_60_ReLU,resnet50_30_ReLU,resnet50_60_ReLU,resnet50_30_relu2,resnet50_60_relu2,resnet50_30_leakyrelu,resnet50_60_leakyrelu,resnet50_30_relu1,resnet50_60_relu1
natural,58.77,71.19,60.98,69.35,60.58,67.5,74.2,75.7,58.8,67.4,72.68,72.67
gaussian_noise,40.48,45.51,45.8,46.27,35.88,53.6,63.5,65.2,60.3,61.8,56.07,65.06
shot_noise,41.89,48.59,47.37,48.77,36.5,53.8,63.8,66.3,63.4,64.1,58.2,59.24
speckle_noise,41.34,48.39,47.55,48.84,36.55,53.7,63.5,66.8,62.6,64.0,48.18,59.4
impulse_noise,29.48,30.6,36.21,33.98,26.01,31.3,53.4,55.1,51.4,54.1,32.53,48.56
defocus_blur,61.03,70.31,59.71,66.35,55.4,59.5,61.5,71.4,62.2,64.1,66.96,72.36
gaussian_blur,60.47,68.4,58.61,64.22,53.87,57.1,57.4,70.2,60.8,62.6,65.07,71.4
motion_blur,57.73,63.18,52.09,60.69,50.34,53.5,61.6,65.7,58.5,60.1,61.88,66.81
zoom_blur,58.71,68.6,56.2,66.99,54.5,55.8,64.6,67.4,59.1,61.2,64.93,69.24
snow,49.27,55.12,46.88,54.0,55.13,57.2,58.3,70.3,57.0,59.8,47.1,56.77
fog,55.51,62.44,52.05,57.53,58.33,60.1,58.4,74.2,45.1,47.7,64.04,74.82
brightness,57.5,64.18,54.67,62.62,59.6,60.3,65.9,79.0,59.7,62.1,56.18,68.4
contrast,35.85,37.73,35.51,39.04,49.44,53.7,62.0,72.2,39.3,41.7,55.75,76.5
elastic_transform,55.57,65.1,58.6,63.92,52.04,56.8,67.7,70.7,59.8,61.6,63.2,68.18
pixelate,48.33,49.63,55.65,54.86,46.36,52.4,68.3,70.4,63.7,65.7,58.95,67.52
jpeg_compression,55.92,66.16,59.91,65.25,52.74,63.7,68.4,77.1,64.2,66.5,64.65,67.25
spatter,46.32,55.92,50.79,54.17,45.18,60.1,62.3,67.2,60.5,62.9,53.14,60.15
saturate,45.27,55.37,48.48,51.69,45.78,51.0,59.3,74.4,59.0,61.5,45.95,59.87
frost,50.23,54.36,46.69,52.74,46.36,52.2,60.2,69.0,53.1,55.9,60.27,61.88
avg,49.49,56.09,50.71,55.11,47.78,54.77,62.23,69.59,57.76,59.86,56.84,65.19
