,name,accuracy,loss
0,natural,0.3188,2.2059096992492675
1,gaussian_noise,0.2804,2.391486993598938
2,shot_noise,0.282,2.3741157341003416
3,speckle_noise,0.2826,2.3872821912765505
4,impulse_noise,0.2598,2.5212475416183473
5,defocus_blur,0.3804,1.9004442836761475
6,gaussian_blur,0.3953,1.8422439152717591
7,motion_blur,0.3712,1.9434333407402038
8,zoom_blur,0.3661,1.988348583126068
9,snow,0.2268,2.7622471952438357
10,fog,0.3204,2.1917940309524537
11,brightness,0.2622,2.4758180681228636
12,contrast,0.2301,2.488674534225464
13,elastic_transform,0.3398,2.0943424255371093
14,pixelate,0.3513,2.0543018510818483
15,jpeg_compression,0.3163,2.222181497001648
16,spatter,0.2639,2.4875202224731447
17,saturate,0.29,2.245212052345276
18,frost,0.2607,2.5683630002975466
19,avg,0.3051631578947368,0.3051631578947368
