,name,accuracy,loss
0,natural,0.5481,2.0012748394966127
1,gaussian_noise,0.307,3.201096132469177
2,shot_noise,0.3103,3.240930645942688
3,speckle_noise,0.3093,3.279299263572693
4,impulse_noise,0.2255,3.8986809051513673
5,defocus_blur,0.5168,2.3231620918273928
6,gaussian_blur,0.5059,2.379756177353859
7,motion_blur,0.486,2.3783396450519563
8,zoom_blur,0.4922,2.51381100025177
9,snow,0.3499,3.372441208744049
10,fog,0.5924,1.6854329311847687
11,brightness,0.402,3.164706439399719
12,contrast,0.593,1.7197798198223113
13,elastic_transform,0.4668,2.3828188984870913
14,pixelate,0.464,2.5074352975845335
15,jpeg_compression,0.4745,2.334447393321991
16,spatter,0.3492,3.202004626083374
17,saturate,0.2732,4.67474773311615
18,frost,0.469,2.320110062885284
19,avg,0.4281631578947368,2.767382900618252
