,name,accuracy,loss
0,natural,0.5757,1.6742495654582978
1,gaussian_noise,0.3402,2.8984468732833863
2,shot_noise,0.3489,2.820523628807068
3,speckle_noise,0.3522,2.8480651908874512
4,impulse_noise,0.2308,3.9752251110076906
5,defocus_blur,0.5603,1.6431331785678864
6,gaussian_blur,0.5525,1.668154214143753
7,motion_blur,0.515,1.9297312521934509
8,zoom_blur,0.5505,1.7010309146404266
9,snow,0.3291,4.514016189956665
10,fog,0.5743,1.5534274435043336
11,brightness,0.3457,4.443275229644775
12,contrast,0.5274,1.7381106654167175
13,elastic_transform,0.4964,2.0695312779426573
14,pixelate,0.4535,2.345991282272339
15,jpeg_compression,0.4921,2.0815465730667113
16,spatter,0.4193,2.4260700380325315
17,saturate,0.3114,4.183928674507141
18,frost,0.4308,2.9117129658699037
19,avg,0.4424,2.6013773825896416
