,batch_size_64
0,2.8331212997436523
1,2.8324949741363525
2,2.833305835723877
3,2.83180570602417
4,2.83158278465271
5,2.8320164680480957
6,2.8298544883728027
7,2.8341879844665527
8,2.8341236114501953
9,2.831521987915039
10,2.8314664363861084
11,2.8303732872009277
12,2.830169677734375
13,2.8300392627716064
14,2.8237197399139404
15,2.8280467987060547
16,2.831308126449585
17,2.8239645957946777
18,2.825218915939331
19,2.8257713317871094
20,2.8267176151275635
21,2.8197522163391113
22,2.818960189819336
23,2.8028008937835693
24,2.7876932621002197
25,2.7828896045684814
26,2.739903450012207
27,2.609713554382324
28,2.576537847518921
29,2.5337984561920166
30,2.448777437210083
31,2.4939069747924805
32,2.187556505203247
33,2.1710662841796875
34,2.0519943237304688
35,2.213757276535034
36,2.1997697353363037
37,1.95908784866333
38,2.035672903060913
39,2.118560552597046
40,1.996208906173706
41,2.1387314796447754
42,1.8029224872589111
43,1.8090176582336426
44,1.8426765203475952
45,1.8064876794815063
46,1.9637638330459595
47,1.812233805656433
48,1.8512814044952393
49,1.9697009325027466
50,1.7734848260879517
51,1.4932793378829956
52,1.658798098564148
53,1.640419602394104
54,1.9379817247390747
55,1.7124905586242676
56,1.6731846332550049
57,1.562262773513794
58,1.7086272239685059
59,1.7022042274475098
