,batch_size_64
0,2.804471254348755
1,2.92337965965271
2,2.7784602642059326
3,2.663662910461426
4,2.7174112796783447
5,2.581998586654663
6,2.463750123977661
7,2.4142162799835205
8,2.3986032009124756
9,2.3778162002563477
10,2.310340166091919
11,2.1538429260253906
12,2.2594475746154785
13,2.1747546195983887
14,2.176565170288086
15,1.966964840888977
16,2.0416619777679443
17,2.033658266067505
18,1.906130075454712
19,1.954127311706543
20,1.8422311544418335
21,1.6483440399169922
22,1.70622980594635
23,1.4642671346664429
24,1.607759952545166
25,1.651862382888794
26,1.5919700860977173
27,1.3909845352172852
28,1.7128781080245972
29,1.1817632913589478
30,1.3890973329544067
31,1.0930795669555664
32,1.1849521398544312
33,1.2727773189544678
34,1.1329911947250366
35,1.2083057165145874
36,1.3518942594528198
37,1.040955662727356
38,0.766963541507721
39,0.9552915692329407
40,0.6842169165611267
41,0.9921829700469971
42,0.9347238540649414
43,0.9046512246131897
44,0.6842908263206482
45,0.4715743958950043
46,0.614115297794342
47,0.5895684957504272
48,0.5968726277351379
49,0.5249362587928772
50,0.3827325403690338
51,0.44166141748428345
52,0.328662246465683
53,0.37721335887908936
54,0.35842588543891907
55,0.3032369017601013
56,0.30117592215538025
57,0.46451202034950256
58,0.22013700008392334
59,0.24501898884773254
